Suburb,No. of Rooms,Type of Property,Year Sold,Price,Postcode,Region Name,No. of properties in Suburb,Distance from CBD,Council for Suburb,Total population
Bentleigh East,2,house,2017,0.1301518692998703,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.4042477409328318
Lalor,3,house,2016,0.040983925,3075,Northern Metropolitan,0.3120648168955057,16.3,Whittlesea City Council,0.339133153
South Yarra,2,unit,2016,0.042881949627712586,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.39897026993164153
Ascot Vale,3,house,2016,0.10008345855698243,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.2329400376455309
Brunswick West,2,unit,2018,0.053427767,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22621944808904768
Balwyn,2,townhouse,2016,0.058956167,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.24654819900500108
Hampton,3,house,2018,0.1512546453676063,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27744196950890454
Balwyn North,2,unit,2017,0.055983135,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30836969432495825
Richmond,1,unit,2018,0.023561881282024855,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.45746468931433243
Ivanhoe,4,townhouse,2017,0.077860322,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Brighton,4,townhouse,2016,0.21854459826050693,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Eltham North,4,house,2017,0.062765696,3095,Eastern Metropolitan,0.081609255,18,Banyule City Council,0.29593133818221584
Malvern East,3,house,2016,0.13566586515315518,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3202177540338024
Collingwood,2,unit,2016,0.066981553,3066,Northern Metropolitan,0.1736497554470117,2,Yarra City Council,0.14244878718342543
Richmond,2,unit,2017,0.063652501,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.44732594136450016
Newport,3,townhouse,2016,0.057852929,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.2696221662918003
Craigieburn,3,house,2016,0.030959757,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Blackburn,3,unit,2018,0.099676375,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
North Melbourne,2,house,2016,0.053001237,3051,Northern Metropolitan,0.2601596587244429,1.8,Melbourne City Council,0.3146474559363837
Glenroy,3,townhouse,2018,0.038822696,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Hoppers Crossing,4,house,2017,0.045464373,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5199288530718802
Rosanna,2,townhouse,2016,0.039341817,3084,Eastern Metropolitan,0.13245250957867125,8.9,Banyule City Council,0.17571998573882902
Balwyn North,3,house,2018,0.15895884372059382,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.3098200209026048
Narre Warren,4,house,2016,0.034964114860654226,3805,South-Eastern Metropolitan,0.3494157465324234,34.1,Casey City Council,0.1269087545235228
Reservoir,3,house,2017,0.050010420574661416,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Ringwood,3,house,2017,0.11583181552512165,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.26712582948794106
Blackburn South,4,house,2018,0.094369157,3130,Eastern Metropolitan,0.1670139779793819,13.4,Whitehorse City Council,0.17463797027426697
Lalor,4,house,2017,0.041847109935500504,3075,Northern Metropolitan,0.3120648168955057,16.3,Whittlesea City Council,0.3428118819352736
Coburg,3,house,2018,0.09067836,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.3918674068285191
South Yarra,2,unit,2016,0.073272201,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.39897026993164153
Mulgrave,3,house,2016,0.059888726227451804,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2953956828324747
Springvale South,3,house,2016,0.05214763,3172,South-Eastern Metropolitan,0.15356819367870014,22.2,Greater Dandenong City Council,0.2008365853131926
Brighton,2,house,2016,0.12785856237567836,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Albert Park,2,house,2018,0.10560340113851668,3206,Southern Metropolitan,0.12159917211755245,3,Port Phillip City Council,0.2530299990358775
Thomastown,2,house,2018,0.084165827,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30859106658791785
Clayton South,3,house,2017,0.07536032,3169,South-Eastern Metropolitan,0.18083532001903968,17.5,Kingston City Council,0.2038315617390583
Reservoir,2,house,2018,0.037090344,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Flemington,3,house,2017,0.092402427,3031,Northern Metropolitan,0.13465054053101594,3.4,Melbourne City Council,0.16701673516393498
Clayton,4,townhouse,2018,0.061920387,3168,South-Eastern Metropolitan,0.22354161408069465,16.7,Monash City Council,0.36976528995707153
Ringwood,3,house,2016,0.041415610468179584,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.2623333546366169
Murrumbeena,3,townhouse,2018,0.076194349,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.15462892448720716
Templestowe Lower,4,house,2016,0.096332027,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21565509514024353
Burwood,4,townhouse,2017,0.11221952983920809,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.20561879916011905
Footscray,3,townhouse,2017,0.068242853,3011,Western Metropolitan,0.28716056005404184,5.1,Maribyrnong City Council,0.2637747963276384
Coburg North,2,townhouse,2017,0.038822696,3058,Northern Metropolitan,0.12850051075824553,6.7,Darebin City Council,0.13173413829434788
Burnside Heights,3,house,2017,0.06403232,3023,Western Metropolitan,0.052354443180585596,14.8,Melton City Council,0.10420796316281797
Templestowe Lower,3,townhouse,2017,0.077027682,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21601938649640035
Blackburn,3,house,2018,0.083255645,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Doncaster East,5,house,2016,0.13173040159292007,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.4079399429889258
Hawthorn East,2,unit,2016,0.036656787,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.24115607731104635
Port Melbourne,2,unit,2018,0.059380165443478364,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2646360951422846
Toorak,3,unit,2016,0.13054673603747863,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21155780943419875
Caulfield South,3,unit,2016,0.088210238,3162,Southern Metropolitan,0.1932969078589082,8.7,Glen Eira City Council,0.2692641008643066
Sunshine West,3,house,2018,0.049582429983921025,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.29033642892884615
Hillside,3,house,2016,0.045722249,3037,Western Metropolitan,0.21283369048571887,18,Brimbank City Council,0.30575872678423793
Hadfield,3,house,2016,0.059803984,3046,Northern Metropolitan,0.092902921,11.2,Moreland City Council,0.094094845
Vermont,4,house,2016,0.069922114,3133,Eastern Metropolitan,0.15871751476542062,17.2,Maroondah City Council,0.1680787197587712
Balwyn North,5,house,2018,0.18546550728392253,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.3098200209026048
Footscray,2,townhouse,2017,0.045034432,3011,Western Metropolitan,0.28716056005404184,5.1,Maribyrnong City Council,0.2637747963276384
Clayton,3,house,2018,0.084909905,3168,South-Eastern Metropolitan,0.22354161408069465,16.7,Monash City Council,0.36976528995707153
Brighton,2,townhouse,2016,0.11181735810645975,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Craigieburn,4,house,2018,0.043140492,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.27054231767049464
Reservoir,1,unit,2016,0.011716962453849972,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Balwyn North,3,house,2018,0.099676375,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.3098200209026048
Hampton,2,unit,2017,0.050865853,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.2745071620079733
Balwyn North,4,house,2017,0.18919546311898636,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30836969432495825
Richmond,3,house,2018,0.11903181825579254,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.45746468931433243
Taylors Lakes,3,house,2017,0.058956167,3038,Western Metropolitan,0.2043694971398613,15.5,Brimbank City Council,0.26882913469525754
Coburg,2,unit,2017,0.029126336,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Sunshine,3,house,2018,0.064875846,3020,Western Metropolitan,0.14133925250352913,10.5,Brimbank City Council,0.16243018995914557
Greensborough,5,house,2016,0.077444089,3088,Northern Metropolitan,0.3205284653111676,16.1,Banyule City Council,0.306128618
North Melbourne,2,house,2016,0.078276382,3051,Northern Metropolitan,0.2601596587244429,1.8,Melbourne City Council,0.3146474559363837
Mount Waverley,5,house,2018,0.11422796594314712,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
Springvale,3,house,2017,0.088416148,3171,South-Eastern Metropolitan,0.2815251347893197,20.8,Greater Dandenong City Council,0.3288107437565298
Balwyn,2,unit,2017,0.064454172,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.24929211511646676
Ascot Vale,3,house,2017,0.11462916955936134,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.23613143814674536
Blackburn,4,house,2016,0.1769088236872044,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.31945169875524504
Sunshine North,4,house,2017,0.053001237,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Bentleigh East,4,house,2018,0.099676375,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40937521418442885
Sunshine,3,house,2016,0.045937095,3020,Western Metropolitan,0.14133925250352913,10.5,Brimbank City Council,0.15846572232212935
Taylors Hill,4,house,2016,0.056833474763165796,3037,Western Metropolitan,0.16118141584024404,18,Melton City Council,0.29216321054844724
Pascoe Vale,3,townhouse,2016,0.049796448176284265,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.46155701003861366
Cranbourne North,4,house,2017,0.036656787,3977,South-Eastern Metropolitan,0.2470289185449072,34.7,Casey City Council,0.4635389831717334
Craigieburn,5,house,2016,0.033181544,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Sydenham,5,house,2018,0.052403789,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19368908330284537
Mount Waverley,5,house,2017,0.1340935377852027,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.4701312831656691
Yarraville,3,house,2016,0.067822596,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4316288948779653
Caulfield South,2,house,2017,0.075777422,3162,Southern Metropolitan,0.1932969078589082,8.7,Glen Eira City Council,0.27092546433095027
Wheelers Hill,4,house,2016,0.082427488,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.30025588419691795
Caroline Springs,4,house,2016,0.041847109935500504,3023,Western Metropolitan,0.2924460408676371,14.8,Melton City Council,0.300925261
Doreen,3,house,2018,0.037263714528992686,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.35166139251269046
Brunswick East,2,house,2018,0.094778406,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.20094614883960438
North Melbourne,2,unit,2016,0.049154256,3051,Northern Metropolitan,0.2601596587244429,1.8,Melbourne City Council,0.3146474559363837
South Yarra,1,unit,2017,0.022682760346284872,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.41201783969247296
Fawkner,3,house,2018,0.068032747,3060,Northern Metropolitan,0.19403890699474177,13.1,Hume City Council,0.2235720691846055
Williamstown,3,house,2016,0.11663277672132635,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24099820542375477
Rosanna,3,house,2016,0.095596402,3084,Eastern Metropolitan,0.13245250957867125,8.9,Banyule City Council,0.17571998573882902
Wyndham Vale,3,house,2017,0.026194616,3024,Western Metropolitan,0.20150627212323605,27.2,Wyndham City Council,0.35611558581270175
Burwood,3,house,2016,0.13997706132699012,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.19605891590590585
Ashburton,3,unit,2017,0.10130371496221191,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12835292577615912
South Morang,4,house,2017,0.05521721,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3574749185428734
Fitzroy North,4,house,2017,0.20617630672648415,3068,Northern Metropolitan,0.23885043429690037,3.6,Moreland City Council,0.20175380933757797
Thornbury,2,townhouse,2017,0.075777422,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.28732622961334014
Newport,4,house,2018,0.13527301502042657,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27846902164282894
Hughesdale,3,house,2017,0.065929254,3166,Southern Metropolitan,0.11591697992393667,12.3,Monash City Council,0.12839710221687042
Sunbury,3,house,2017,0.030676233,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.20115154810225858
North Melbourne,1,unit,2017,0.021802865876845483,3051,Northern Metropolitan,0.2601596587244429,1.8,Melbourne City Council,0.3336075502804228
Brighton,2,unit,2016,0.064116705,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Pascoe Vale,2,house,2017,0.079024854,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.4759109224312301
Ivanhoe,3,house,2017,0.079107983,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Reservoir,3,house,2017,0.065718661,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Doreen,4,house,2018,0.038822696,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.35166139251269046
Broadmeadows,3,house,2017,0.030610792936124055,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21362883411304226
Lalor,3,house,2018,0.050181566,3075,Northern Metropolitan,0.3120648168955057,16.3,Whittlesea City Council,0.346773082
Mount Waverley,3,house,2018,0.068242853,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
South Yarra,1,unit,2018,0.025537082187558513,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.42404313712184016
Mount Waverley,4,house,2016,0.15511416385978397,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Elsternwick,2,unit,2018,0.059973461218817185,3185,Southern Metropolitan,0.18730170955694084,7.2,Glen Eira City Council,0.189957633
Carnegie,2,unit,2018,0.038563034734310594,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.29039904516024606
Hawthorn,2,unit,2018,0.038822696,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Brighton,2,unit,2018,0.062343130574135555,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3492792597321805
Hawthorn,2,unit,2018,0.064243268,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Maribyrnong,2,house,2018,0.084827257,3032,Western Metropolitan,0.18808744072017478,4.3,Maribyrnong City Council,0.2075933216609499
Blackburn,5,house,2018,0.17419143071070434,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Mernda,4,house,2017,0.055557693,3754,Northern Metropolitan,0.2225935849620804,25.9,Whittlesea City Council,0.2840801271152355
Frankston North,3,house,2017,0.032310843475260434,3200,Eastern Victoria,0.088313969,36.9,Frankston City Council,0.2884310217611666
Balwyn North,4,house,2018,0.21419676532440352,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.3098200209026048
Glen Waverley,3,house,2017,0.1303098347057748,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Mooroolbark,3,house,2017,0.060651083,3138,Eastern Victoria,0.3120995084012939,26.5,Yarra Ranges Shire Council,0.33141036731253304
Ivanhoe,4,house,2018,0.081598644,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.19246062431207847
South Morang,3,house,2017,0.035789108,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3574749185428734
Port Melbourne,3,unit,2018,0.16660414089854494,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2646360951422846
Hampton,3,house,2016,0.083255645,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27278801860917856
Doncaster East,4,house,2016,0.065718661,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.4079399429889258
Ringwood,5,house,2016,0.052062229450427634,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.2623333546366169
Kew,3,house,2016,0.17532457530787315,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3650346269594648
Balwyn North,3,house,2016,0.10536051565782635,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30548738648483875
Thornbury,3,house,2017,0.15225955404414115,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.28732622961334014
Clayton South,3,house,2018,0.070760689,3169,South-Eastern Metropolitan,0.18083532001903968,17.5,Kingston City Council,0.20811013862404945
Blackburn,3,house,2018,0.11623237631557669,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Ringwood,3,house,2018,0.063188082,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.2696221662918003
Coburg,2,house,2018,0.062343130574135555,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.3918674068285191
Delahey,3,house,2017,0.043140492,3037,Western Metropolitan,0.1054363493545657,18,Brimbank City Council,0.13808336597300672
Brunswick,3,unit,2017,0.048725898882304636,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Wantirna South,3,house,2017,0.06048172,3152,Eastern Metropolitan,0.26965150196710946,14.7,Knox City Council,0.27202300518413414
Kingsbury,3,unit,2018,0.054067221,3083,Northern Metropolitan,0.040044367,12.1,Darebin City Council,0.19743414819306163
Balwyn,5,house,2018,0.1473801732600477,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.2512735011702242
Fawkner,3,house,2017,0.054365493424520794,3060,Northern Metropolitan,0.19403890699474177,13.1,Hume City Council,0.22078341504728802
Point Cook,4,house,2018,0.051891406081375366,3030,Western Metropolitan,0.5367821508464777,14.7,Wyndham City Council,0.6931471805599453
Malvern East,4,house,2018,0.19031174230466807,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.33135026718570354
Altona Meadows,3,house,2016,0.038822696,3028,Western Metropolitan,0.2892923024942333,15.5,Hobsons Bay City Council,0.29058687033312774
Altona North,3,house,2017,0.058956167,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.22440180037255328
Melbourne,2,unit,2016,0.039687748,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5273077160552411
Brighton,3,unit,2016,0.12793772953718097,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Keilor East,3,house,2018,0.080021945,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3856135913233154
Thomastown,3,townhouse,2016,0.035789108,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.3080867584326531
Carrum Downs,3,house,2017,0.046581355920144424,3201,South-Eastern Metropolitan,0.3044382367730914,34.9,Frankston City Council,0.31164836565601745
Glenroy,3,house,2016,0.03209305,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.33002714972840386
Doncaster,4,house,2016,0.11663277672132635,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.3119302957759891
Glen Waverley,4,house,2018,0.10592715670589346,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5429066068089516
Thomastown,3,house,2018,0.044432204,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30859106658791785
Newport,4,house,2018,0.1372357241882752,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27846902164282894
Hampton,4,house,2016,0.247056865,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27278801860917856
Hampton,4,townhouse,2016,0.095596402,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27278801860917856
Mount Waverley,2,unit,2018,0.047525521,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
Broadmeadows,2,house,2017,0.047439725071560565,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21362883411304226
Oakleigh South,3,house,2018,0.081598644,3167,South-Eastern Metropolitan,0.1387434002866786,15.5,Kingston City Council,0.18807280072998955
Coburg,3,house,2017,0.074149742,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Bulleen,3,house,2017,0.076611102,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.178202786
Frankston,4,house,2016,0.1817215867744574,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3311939899495693
Blackburn,5,house,2017,0.16010937117253193,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.3225609122977266
Hampton,3,townhouse,2017,0.08944506,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.2745071620079733
Burwood,3,house,2018,0.10438838337128699,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.21303368456415542
Broadmeadows,4,house,2018,0.041847109935500504,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21631611840130355
Sunshine North,3,house,2016,0.053001237,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Noble Park,2,unit,2017,0.027945930390559322,3174,South-Eastern Metropolitan,0.4274975935784438,22.7,Greater Dandenong City Council,0.5223746685683135
St Kilda,1,unit,2017,0.024440230042930774,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5789354373767116
Reservoir,2,townhouse,2018,0.034920675,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Reservoir,2,townhouse,2017,0.046151895,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Altona North,2,unit,2017,0.045378399940741776,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.22440180037255328
Moonee Ponds,2,unit,2017,0.041933387,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.2299379897492016
Port Melbourne,1,unit,2016,0.032789822822990755,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.25562656005332385
Reservoir,3,house,2018,0.061751239464816324,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
MacLeod,4,house,2017,0.099676375,3085,Northern Metropolitan,0.15819163542238174,12.7,Banyule City Council,0.057989616
Templestowe,4,house,2017,0.15895884372059382,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.2600252992760271
Southbank,2,unit,2016,0.049582429983921025,3006,Southern Metropolitan,0.3162537759557959,0.7,Melbourne City Council,0.2946976547334319
Mulgrave,3,house,2016,0.07050919,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2953956828324747
Burwood,2,house,2017,0.10556292432160802,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.20561879916011905
Brunswick West,2,house,2017,0.064454172,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22083711641400056
Thornbury,3,townhouse,2016,0.084909905,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.2828064905851619
Patterson Lakes,3,house,2017,0.050523767608521924,3197,South-Eastern Metropolitan,0.12457467878662302,31.2,Kingston City Council,0.18753164138698772
Gowanbrae,4,house,2016,0.050438228,3043,Western Metropolitan,0.024301793,12.9,Moreland City Council,0.049899342
Patterson Lakes,4,house,2016,0.053427767,3197,South-Eastern Metropolitan,0.12457467878662302,31.2,Kingston City Council,0.18508583694374992
Mernda,3,house,2018,0.037350388,3754,Northern Metropolitan,0.2225935849620804,25.9,Whittlesea City Council,0.3073113499196944
Glen Iris,4,house,2016,0.1835952991457642,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
Ferntree Gully,3,house,2018,0.055557693,3156,Eastern Metropolitan,0.3955255207116783,24.8,Knox City Council,0.21756951317579684
Burwood East,3,house,2017,0.088622015,3151,Eastern Metropolitan,0.15332426149063855,14.7,Whitehorse City Council,0.1671725634980913
Brunswick West,2,townhouse,2017,0.054706267,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22083711641400056
Hoppers Crossing,3,house,2016,0.029833910812911462,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5166484453142436
Aspendale Gardens,4,house,2017,0.071598561,3195,South-Eastern Metropolitan,0.077099714,21.5,Kingston City Council,0.14691088133679453
Burwood East,5,house,2017,0.1395859015332288,3151,Eastern Metropolitan,0.15332426149063855,14.7,Whitehorse City Council,0.1671725634980913
Mount Evelyn,3,house,2018,0.040595248167470434,3796,Eastern Victoria,0.13212031125321771,31.6,Yarra Ranges Shire Council,0.1577939146339668
Keilor East,4,house,2017,0.091499715,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3817007189292564
South Morang,2,house,2017,0.026194616,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3574749185428734
Meadow Heights,3,house,2017,0.044862404057260094,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.2351128858578871
Hallam,3,house,2016,0.02838328,3803,South-Eastern Metropolitan,0.1402275694245528,32.3,Casey City Council,0.17444111434404946
Fawkner,4,house,2018,0.06369471,3060,Northern Metropolitan,0.19403890699474177,13.1,Hume City Council,0.2235720691846055
Balwyn,3,house,2017,0.090267429,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.24929211511646676
Sunshine North,3,house,2017,0.035789108,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Hampton,4,house,2017,0.20471110499915618,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.2745071620079733
Brunswick,2,house,2017,0.07536032,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Coburg,3,house,2017,0.080769113,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Sydenham,3,house,2016,0.028820438535491884,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19254348922850145
Elwood,2,unit,2018,0.041501925,3184,Southern Metropolitan,0.3363977514995816,7.2,Port Phillip City Council,0.2455402069835892
Camberwell,2,house,2016,0.094369157,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3205094303238033
